/api/products/getAll || Status: Successfully accessed  || Date: 15/9/2023 || Time: 14:9:36 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 20:41:20 BST
/api/cart/checkOut || Status: Cart is not defined || Date: 16/9/2023 || Time: 20:41:20 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 20:42:8 BST
/api/cart/checkOut || Status: Transaction validation failed: total: Path `total` is required., user: Path `user` is required. || Date: 16/9/2023 || Time: 20:42:10 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 20:49:31 BST
/api/cart/checkOut || Status: Transaction validation failed: user: Path `user` is required., cart: Path `cart` is required., total: Path `total` is required. || Date: 16/9/2023 || Time: 20:49:32 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 20:49:56 BST
/api/cart/checkOut || Status: Transaction validation failed: user: Path `user` is required., cart: Path `cart` is required., total: Path `total` is required. || Date: 16/9/2023 || Time: 20:49:57 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 20:51:13 BST
/api/cart/checkOut || Status: Transaction validation failed: user: Path `user` is required., cart: Path `cart` is required., total: Path `total` is required. || Date: 16/9/2023 || Time: 20:51:14 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 20:52:28 BST
/api/cart/checkOut || Status: Transaction validation failed: user: Path `user` is required., cart: Path `cart` is required., total: Path `total` is required. || Date: 16/9/2023 || Time: 20:52:29 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 20:53:38 BST
/api/cart/checkOut || Status: Transaction validation failed: user: Path `user` is required., cart: Path `cart` is required., total: Path `total` is required. || Date: 16/9/2023 || Time: 20:53:39 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 20:54:36 BST
/api/cart/checkOut || Status: Transaction validation failed: user: Path `user` is required., cart: Path `cart` is required. || Date: 16/9/2023 || Time: 20:54:37 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 20:57:58 BST
/api/cart/checkOut || Status: Transaction validation failed: user: Path `user` is required. || Date: 16/9/2023 || Time: 20:57:59 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:2:19 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:6:23 BST
/api/cart/addToCart || Status: Cannot read properties of undefined (reading 'quantity') || Date: 16/9/2023 || Time: 21:6:24 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:6:27 BST
/api/cart/addToCart || Status: Cannot read properties of undefined (reading 'quantity') || Date: 16/9/2023 || Time: 21:6:28 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:7:14 BST
/api/cart/addToCart || Status: Cannot read properties of undefined (reading 'quantity') || Date: 16/9/2023 || Time: 21:7:15 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:7:52 BST
/api/cart/addToCart || Status: Cannot read properties of undefined (reading 'quantity') || Date: 16/9/2023 || Time: 21:7:54 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:9:13 BST
/api/cart/addToCart || Status: Cannot read properties of undefined (reading 'quantity') || Date: 16/9/2023 || Time: 21:9:14 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:10:8 BST
/api/cart/addToCart || Status: Cannot read properties of undefined (reading 'quantity') || Date: 16/9/2023 || Time: 21:10:9 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:11:44 BST
/api/cart/addToCart || Status: Cannot read properties of undefined (reading 'quantity') || Date: 16/9/2023 || Time: 21:11:45 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:14:50 BST
/api/cart/addToCart || Status: Cannot read properties of undefined (reading 'quantity') || Date: 16/9/2023 || Time: 21:14:52 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:15:42 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:16:43 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:17:0 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:17:5 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:17:7 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:17:14 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:17:35 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:17:42 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:17:46 BST
/api/products/filterProducts?search=Silver || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:36:43 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:36:57 BST
/api/cart/checkOut || Status: books validation failed: releaseDate: Cast to Number failed for value "2023-08-12" (type string) at path "releaseDate" || Date: 16/9/2023 || Time: 21:36:58 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:43:56 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:45:28 BST
/api/cart/checkOut || Status: books validation failed: releaseDate: Cast to Number failed for value "2023-08-12" (type string) at path "releaseDate" || Date: 16/9/2023 || Time: 21:45:29 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:46:47 BST
/api/cart/checkOut || Status: books validation failed: releaseDate: Cast to Number failed for value "2023-08-12" (type string) at path "releaseDate" || Date: 16/9/2023 || Time: 21:46:50 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:48:27 BST
/api/products/filterProducts?search=Silver || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:48:56 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:49:5 BST
/api/cart/addToCart || Status: Cannot read properties of undefined (reading 'quantity') || Date: 16/9/2023 || Time: 21:49:6 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:49:9 BST
/api/cart/addToCart || Status: Cannot read properties of undefined (reading 'quantity') || Date: 16/9/2023 || Time: 21:49:10 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:50:27 BST
/api/cart/addToCart || Status: Cannot read properties of undefined (reading 'quantity') || Date: 16/9/2023 || Time: 21:50:27 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:54:16 BST
/api/products/filterProducts?search=Silver || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:54:26 BST
/api/products/filterProducts?search=Tanaka || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:55:0 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:55:31 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:55:44 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:55:59 BST
/api/products/filterProducts?search=Tanaka || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:56:9 BST
/api/cart/removeFromCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 21:56:52 BST
/api/cart/removeFromCart || Status: Cannot read properties of undefined (reading 'quantity') || Date: 16/9/2023 || Time: 21:56:53 BST
/api/cart/removeFromCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 22:0:8 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 23:21:18 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 23:21:21 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 23:21:23 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 23:21:35 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 23:29:37 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 23:29:47 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 16/9/2023 || Time: 23:29:56 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 16/9/2023 || Time: 23:29:59 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 18/9/2023 || Time: 8:13:58 BST
/api/products/getAll || Status: Successfully accessed  || Date: 18/9/2023 || Time: 8:14:24 BST
/api/user/addFund || Status: Successfully accessed  || Date: 18/9/2023 || Time: 8:48:14 BST
/api/user/addFund || Status: Successfully accessed  || Date: 18/9/2023 || Time: 8:48:48 BST
/api/user/addFund || Status: Successfully accessed  || Date: 18/9/2023 || Time: 8:49:1 BST
/api/user/addFund || Status: Successfully accessed  || Date: 18/9/2023 || Time: 8:50:4 BST
/api/user/addFund || Status: Successfully accessed  || Date: 18/9/2023 || Time: 8:52:46 BST
/api/user/addFund || Status: Successfully accessed  || Date: 18/9/2023 || Time: 8:53:31 BST
/api/user/addFund || Status: Successfully accessed  || Date: 18/9/2023 || Time: 8:53:43 BST
/api/user/addFund || Status: Successfully accessed  || Date: 18/9/2023 || Time: 8:54:22 BST
/api/user/addFund || Status: Successfully accessed  || Date: 18/9/2023 || Time: 8:56:49 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 18/9/2023 || Time: 9:28:24 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 18/9/2023 || Time: 9:28:43 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 18/9/2023 || Time: 9:30:26 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 18/9/2023 || Time: 9:31:11 BST
/api/user/addFund || Status: Successfully accessed  || Date: 18/9/2023 || Time: 9:34:19 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 18/9/2023 || Time: 9:34:34 BST
/api/admin/getAllUser || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:27:31 BST
/api/admin/getAllUser || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:28:1 BST
/api/admin/getAllUser || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:28:16 BST
/api/admin/getAllUser || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:44:46 BST
/api/admin/getAllUser || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:45:31 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:51:11 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:51:21 BST
/api/admin/getAllUser || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:51:33 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:51:48 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:52:22 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:52:51 BST
/api/admin/updateUserData || Status: Cast to ObjectId failed for value "{ userId: '6503bc61198beea7a5261135' }" (type Object) at path "_id" for model "User" || Date: 18/9/2023 || Time: 10:52:51 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:53:23 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:55:1 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:55:19 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:56:0 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:57:33 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 10:57:55 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:0:14 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:0:43 BST
/api/admin/updateUserData || Status: allUsers is not defined || Date: 18/9/2023 || Time: 11:0:43 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:0:45 BST
/api/admin/updateUserData || Status: allUsers is not defined || Date: 18/9/2023 || Time: 11:0:46 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:1:16 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:1:30 BST
/api/admin/updateUserData || Status: Cannot read properties of null (reading 'length') || Date: 18/9/2023 || Time: 11:1:32 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:1:59 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:3:32 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:4:0 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:4:38 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:8:5 BST
/api/admin/updateUserData || Status: user.save is not a function || Date: 18/9/2023 || Time: 11:8:6 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:8:33 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:10:40 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:11:45 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:12:9 BST
/api/admin/updateUserData || Status: Class constructor ObjectId cannot be invoked without 'new' || Date: 18/9/2023 || Time: 11:13:1 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:13:49 BST
/api/admin/getAllUser || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:14:0 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:14:41 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:15:36 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:16:29 BST
/api/admin/updateUserData || Status: Cannot read properties of null (reading 'length') || Date: 18/9/2023 || Time: 11:16:29 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:19:16 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:24:10 BST
/api/admin/updateUserData || Status: userId is not defined || Date: 18/9/2023 || Time: 11:24:10 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:24:36 BST
/api/admin/updateUserData || Status: updatedName is not defined || Date: 18/9/2023 || Time: 11:24:36 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:24:38 BST
/api/admin/updateUserData || Status: updatedName is not defined || Date: 18/9/2023 || Time: 11:24:38 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:25:13 BST
/api/admin/updateUserData || Status: allUsers is not defined || Date: 18/9/2023 || Time: 11:25:13 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:25:26 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:26:20 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:27:56 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:28:42 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:31:40 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:31:52 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:32:1 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:33:37 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:35:11 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:47:44 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:47:52 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:48:59 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:50:18 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:50:50 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:51:38 BST
/api/cart/getCartById || Status: Cannot read properties of null (reading 'products') || Date: 18/9/2023 || Time: 11:52:2 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:52:45 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:54:41 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 18/9/2023 || Time: 11:55:21 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 18/9/2023 || Time: 12:16:8 BST
/api/cart/getCartById || Status: Cannot read properties of null (reading 'products') || Date: 18/9/2023 || Time: 12:16:27 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 20:39:22 BST
/api/admin/updateUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 20:42:29 BST
/api/admin/getAllUser || Status: Successfully accessed  || Date: 18/9/2023 || Time: 20:48:51 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 18/9/2023 || Time: 20:51:35 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 18/9/2023 || Time: 20:51:59 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 18/9/2023 || Time: 20:52:16 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 18/9/2023 || Time: 20:53:20 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 18/9/2023 || Time: 20:53:28 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:5:35 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:9:34 BST
/api/review/addReview || Status: userIdToCheck is not defined || Date: 18/9/2023 || Time: 21:9:35 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:10:9 BST
/api/review/addReview || Status: Class constructor ObjectId cannot be invoked without 'new' || Date: 18/9/2023 || Time: 21:10:10 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:10:29 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:15:52 BST
/api/review/addReview || Status: Class constructor ObjectId cannot be invoked without 'new' || Date: 18/9/2023 || Time: 21:15:54 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:16:14 BST
/api/review/addReview || Status: isbrought.toObject is not a function || Date: 18/9/2023 || Time: 21:16:15 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:16:30 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:18:14 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:18:46 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:19:23 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:19:47 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:20:9 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:20:25 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:21:9 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:21:18 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:21:26 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:56:28 BST
/api/admin/getAllUser || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:57:9 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:57:16 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:57:45 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 21:58:37 BST
/api/cart/addToCart || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:2:47 BST
/api/cart/checkOut || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:2:52 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:3:2 BST
/api/review/addReview || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:3:40 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:4:14 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:5:29 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:6:30 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:7:1 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:7:35 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:9:10 BST
/api/admin/deleteUserData || Status: Review is not defined || Date: 18/9/2023 || Time: 22:9:10 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:9:22 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:10:19 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:11:13 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:11:41 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:12:33 BST
/api/admin/deleteUserData || Status: Review is not defined || Date: 18/9/2023 || Time: 22:12:33 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:12:35 BST
/api/admin/deleteUserData || Status: Review is not defined || Date: 18/9/2023 || Time: 22:12:35 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:12:35 BST
/api/admin/deleteUserData || Status: Review is not defined || Date: 18/9/2023 || Time: 22:12:35 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:13:52 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:14:15 BST
/api/admin/getAllUser || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:28:33 BST
/api/admin/deleteUserData || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:28:44 BST
/api/admin/getAllUser || Status: Successfully accessed  || Date: 18/9/2023 || Time: 22:35:16 BST
